stage,family,configuration_id,training_seed,parameter_count,runtime_seconds,artifact_bytes,observed_process_peak_rss_bytes
validation,popularity,popularity_train_count,,8902,6.493816000001971,16496,
validation,implicit_als,als__k032__reg0p05__ao20__capped_log_playtime,104729,1896096,30.337275800000498,7019924,
validation,implicit_als,als__k032__reg0p05__ao20__capped_log_playtime,130363,1896096,24.791279799999757,7025509,
validation,implicit_als,als__k032__reg0p05__ao20__capped_log_playtime,155921,1896096,31.407690700001694,7026554,
validation,implicit_als,als__k032__reg0p05__ao20__log_playtime,104729,1896096,36.79616199999873,7017372,
validation,implicit_als,als__k032__reg0p05__ao20__log_playtime,130363,1896096,26.854246099999727,7023277,
validation,implicit_als,als__k032__reg0p05__ao20__log_playtime,155921,1896096,29.656115499998123,7025257,
validation,implicit_als,als__k032__reg0p05__ao20__ownership_only,104729,1896096,28.601148900001135,7018446,
validation,implicit_als,als__k032__reg0p05__ao20__ownership_only,130363,1896096,27.791636000001745,7021603,
validation,implicit_als,als__k032__reg0p05__ao20__ownership_only,155921,1896096,32.99458159999995,7020323,
validation,implicit_als,als__k032__reg0p05__ao40__capped_log_playtime,104729,1896096,26.5412424999995,7006815,
validation,implicit_als,als__k032__reg0p05__ao40__capped_log_playtime,130363,1896096,28.74823280000055,7012859,
validation,implicit_als,als__k032__reg0p05__ao40__capped_log_playtime,155921,1896096,36.083217200000945,7020357,
validation,implicit_als,als__k032__reg0p05__ao40__log_playtime,104729,1896096,29.507318200001464,7005229,
validation,implicit_als,als__k032__reg0p05__ao40__log_playtime,130363,1896096,25.913211499999306,7011831,
validation,implicit_als,als__k032__reg0p05__ao40__log_playtime,155921,1896096,35.72032910000053,7020255,
validation,implicit_als,als__k032__reg0p05__ao40__ownership_only,104729,1896096,26.86575030000313,6998893,
validation,implicit_als,als__k032__reg0p05__ao40__ownership_only,130363,1896096,22.026216199999908,7005131,
validation,implicit_als,als__k032__reg0p05__ao40__ownership_only,155921,1896096,27.518075200001476,7009375,
validation,implicit_als,als__k032__reg0p2__ao20__capped_log_playtime,104729,1896096,23.524914000001445,7022216,
validation,implicit_als,als__k032__reg0p2__ao20__capped_log_playtime,130363,1896096,26.84811450000052,7024752,
validation,implicit_als,als__k032__reg0p2__ao20__capped_log_playtime,155921,1896096,31.864569199999096,7028323,
validation,implicit_als,als__k032__reg0p2__ao20__log_playtime,104729,1896096,26.123223299997335,7020757,
validation,implicit_als,als__k032__reg0p2__ao20__log_playtime,130363,1896096,31.165629299997818,7023335,
validation,implicit_als,als__k032__reg0p2__ao20__log_playtime,155921,1896096,25.335361599998578,7026171,
validation,implicit_als,als__k032__reg0p2__ao20__ownership_only,104729,1896096,25.68320229999881,7016007,
validation,implicit_als,als__k032__reg0p2__ao20__ownership_only,130363,1896096,39.26782530000128,7018854,
validation,implicit_als,als__k032__reg0p2__ao20__ownership_only,155921,1896096,24.50794230000247,7023242,
validation,implicit_als,als__k032__reg0p2__ao40__capped_log_playtime,104729,1896096,30.952605700000277,7001430,
validation,implicit_als,als__k032__reg0p2__ao40__capped_log_playtime,130363,1896096,32.06185550000009,7004240,
validation,implicit_als,als__k032__reg0p2__ao40__capped_log_playtime,155921,1896096,28.714538700001867,7008277,
validation,implicit_als,als__k032__reg0p2__ao40__log_playtime,104729,1896096,25.65222619999986,6999609,
validation,implicit_als,als__k032__reg0p2__ao40__log_playtime,130363,1896096,32.01042260000031,7002013,
validation,implicit_als,als__k032__reg0p2__ao40__log_playtime,155921,1896096,26.79984279999917,7006884,
