bundle_id,bundle_name,n_items,n_items_in_catalogue,catalogue_coverage,standalone_price_coverage,n_distinct_publishers,publisher_coherent,developer_coherent,n_missing_item_id,mechanism_class,ownership_adjusted,indivisible,confidence,evidence
450,Dharker Studio 2015 Complete,14,10,0.714,1.0,3,False,False,0,B_SBA_like,not_observable,not_observable,medium,10/14 components individually listed in catalogue; all show a standalone price
1473,"Naruto Shippuden Uncut Season 4, Vol. 3",13,0,0.0,1.0,0,False,False,0,E_unclear,not_observable,not_observable,low,no components found in catalogue snapshot (likely catalogue incompleteness); standalone prices still shown
1474,"Naruto Shippuden Uncut Season 4, Vol. 4",13,0,0.0,1.0,0,False,False,0,E_unclear,not_observable,not_observable,low,no components found in catalogue snapshot (likely catalogue incompleteness); standalone prices still shown
1437,Pixel Puzzles Ultimate: Starter Kit,10,10,1.0,1.0,1,True,True,0,B_SBA_like,not_observable,not_observable,high,10/10 components individually listed in catalogue; all show a standalone price
1466,"Naruto Shippuden Uncut Season 4, Vol. 1",13,0,0.0,1.0,0,False,False,0,E_unclear,not_observable,not_observable,low,no components found in catalogue snapshot (likely catalogue incompleteness); standalone prices still shown
1478,Cosmi Fun Pack,9,9,1.0,1.0,1,True,False,0,B_SBA_like,not_observable,not_observable,high,9/9 components individually listed in catalogue; all show a standalone price
1482,Two Tribes Complete Pack!,4,4,1.0,1.0,2,False,True,0,B_SBA_like,not_observable,not_observable,high,4/4 components individually listed in catalogue; all show a standalone price
1396,"Expendables 1, 2, & 3",3,3,1.0,1.0,0,False,False,0,B_SBA_like,not_observable,not_observable,high,3/3 components individually listed in catalogue; all show a standalone price
1400,El Ninja - Deluxe Edition,2,0,0.0,1.0,0,False,False,0,E_unclear,not_observable,not_observable,low,no components found in catalogue snapshot (likely catalogue incompleteness); standalone prices still shown
1471,18 Wheels of Steel Top Payload Pack 2,3,3,1.0,1.0,1,True,False,0,B_SBA_like,not_observable,not_observable,high,3/3 components individually listed in catalogue; all show a standalone price
1472,"Naruto Shippuden Uncut Season 4, Vol. 2",13,0,0.0,1.0,0,False,False,0,E_unclear,not_observable,not_observable,low,no components found in catalogue snapshot (likely catalogue incompleteness); standalone prices still shown
1477,Halcyon 6: Starbase Commander + Soundtrack,2,2,1.0,1.0,1,True,True,0,B_SBA_like,not_observable,not_observable,high,2/2 components individually listed in catalogue; all show a standalone price
1284,Black Sand Drift Collector's Edition,2,2,1.0,1.0,1,True,True,0,B_SBA_like,not_observable,not_observable,high,2/2 components individually listed in catalogue; all show a standalone price
1468,The Codemasters Complete Collection,56,52,0.929,1.0,4,False,False,0,B_SBA_like,not_observable,not_observable,high,52/56 components individually listed in catalogue; all show a standalone price
1225,Starters + Founders Package,2,2,1.0,1.0,1,True,True,0,B_SBA_like,not_observable,not_observable,high,2/2 components individually listed in catalogue; all show a standalone price
1455,ULTAKAAR CHRONICLES,5,5,1.0,1.0,1,True,True,0,B_SBA_like,not_observable,not_observable,high,5/5 components individually listed in catalogue; all show a standalone price
1419,"Naruto Shippuden Uncut Season 3, Vol. 1",14,0,0.0,1.0,0,False,False,0,E_unclear,not_observable,not_observable,low,no components found in catalogue snapshot (likely catalogue incompleteness); standalone prices still shown
1421,"Naruto Shippuden Uncut Season 3, Vol. 3",13,0,0.0,1.0,0,False,False,0,E_unclear,not_observable,not_observable,low,no components found in catalogue snapshot (likely catalogue incompleteness); standalone prices still shown
1433,"Naruto Shippuden Uncut Season 3, Vol. 4",13,0,0.0,1.0,0,False,False,0,E_unclear,not_observable,not_observable,low,no components found in catalogue snapshot (likely catalogue incompleteness); standalone prices still shown
1420,"Naruto Shippuden Uncut Season 3, Vol. 2",14,0,0.0,1.0,0,False,False,0,E_unclear,not_observable,not_observable,low,no components found in catalogue snapshot (likely catalogue incompleteness); standalone prices still shown
1011,Publisher Diamond Edition Pack,12,11,0.917,1.0,1,True,False,0,B_SBA_like,not_observable,not_observable,high,11/12 components individually listed in catalogue; all show a standalone price
419,Dinosaur Hunt Gold Edition Pack,11,10,0.909,1.0,1,True,False,0,B_SBA_like,not_observable,not_observable,high,10/11 components individually listed in catalogue; all show a standalone price
1460,The Meridian Bundle,4,4,1.0,1.0,2,False,True,0,B_SBA_like,not_observable,not_observable,high,4/4 components individually listed in catalogue; all show a standalone price
317,Endorlight - Deluxe Edition,2,2,1.0,1.0,1,True,True,0,B_SBA_like,not_observable,not_observable,high,2/2 components individually listed in catalogue; all show a standalone price
1379,Revolution 60: Special Edition Bundle,2,2,1.0,1.0,1,True,True,0,B_SBA_like,not_observable,not_observable,high,2/2 components individually listed in catalogue; all show a standalone price
1385,Happy Neighbours Set,2,2,1.0,1.0,2,False,False,0,B_SBA_like,not_observable,not_observable,high,2/2 components individually listed in catalogue; all show a standalone price
1137,New Retro Arcade: Neon and Original Soundtrack,2,2,1.0,1.0,1,True,True,0,B_SBA_like,not_observable,not_observable,high,2/2 components individually listed in catalogue; all show a standalone price
279,Microblast Games Bundle,6,6,1.0,1.0,1,True,True,0,B_SBA_like,not_observable,not_observable,high,6/6 components individually listed in catalogue; all show a standalone price
1440,OtakuMaker Studio Pack - Latest Bundle #3,4,4,1.0,1.0,3,False,False,0,B_SBA_like,not_observable,not_observable,high,4/4 components individually listed in catalogue; all show a standalone price
1441,OtakuMaker Studio Pack - Part #4,6,6,1.0,1.0,4,False,False,0,B_SBA_like,not_observable,not_observable,high,6/6 components individually listed in catalogue; all show a standalone price
658,Infernal Dream Collection,5,0,0.0,1.0,0,False,False,0,E_unclear,not_observable,not_observable,low,no components found in catalogue snapshot (likely catalogue incompleteness); standalone prices still shown
355,MX vs. ATV Collection,36,36,1.0,1.0,1,True,False,0,B_SBA_like,not_observable,not_observable,high,36/36 components individually listed in catalogue; all show a standalone price
1401,Shadow Warrior 2 Deluxe,4,3,0.75,1.0,1,True,True,0,B_SBA_like,not_observable,not_observable,medium,3/4 components individually listed in catalogue; all show a standalone price
1418,PopCap Power Pack,23,23,1.0,1.0,1,True,True,0,B_SBA_like,not_observable,not_observable,high,23/23 components individually listed in catalogue; all show a standalone price
1282,Vanguard Princess Bundle,4,2,0.5,1.0,1,True,True,0,B_SBA_like,not_observable,not_observable,medium,2/4 components individually listed in catalogue; all show a standalone price
1399,Dead Rising Triple Pack,3,3,1.0,1.0,1,True,False,0,B_SBA_like,not_observable,not_observable,high,3/3 components individually listed in catalogue; all show a standalone price
1392,The Metronomicon Deluxe Edition,2,2,1.0,1.0,1,True,True,0,B_SBA_like,not_observable,not_observable,high,2/2 components individually listed in catalogue; all show a standalone price
1404,SUPERFIGHT - The Super Bundle,9,9,1.0,1.0,1,True,True,0,B_SBA_like,not_observable,not_observable,high,9/9 components individually listed in catalogue; all show a standalone price
1406,SUPERFIGHT - The DLC Bundle,8,8,1.0,1.0,1,True,True,0,B_SBA_like,not_observable,not_observable,high,8/8 components individually listed in catalogue; all show a standalone price
1407,Zonitron Productions Complete Pack,15,0,0.0,1.0,0,False,False,0,E_unclear,not_observable,not_observable,low,no components found in catalogue snapshot (likely catalogue incompleteness); standalone prices still shown
1403,Steam Link + John Wick,2,1,0.5,1.0,0,False,False,0,B_SBA_like,not_observable,not_observable,medium,1/2 components individually listed in catalogue; all show a standalone price
1293,Triangle Service Shmups Collection,12,12,1.0,1.0,1,True,True,0,B_SBA_like,not_observable,not_observable,high,12/12 components individually listed in catalogue; all show a standalone price
1248,Shooting Love 20XX,8,8,1.0,1.0,1,True,True,0,B_SBA_like,not_observable,not_observable,high,8/8 components individually listed in catalogue; all show a standalone price
1409,Crimson Duck Complete Pack,2,0,0.0,1.0,0,False,False,0,E_unclear,not_observable,not_observable,low,no components found in catalogue snapshot (likely catalogue incompleteness); standalone prices still shown
1410,Silicon Echo Complete Pack,3,0,0.0,1.0,0,False,False,0,E_unclear,not_observable,not_observable,low,no components found in catalogue snapshot (likely catalogue incompleteness); standalone prices still shown
1382,RunGunJumpGun: Special Atomik Edition,2,2,1.0,1.0,1,True,True,0,B_SBA_like,not_observable,not_observable,high,2/2 components individually listed in catalogue; all show a standalone price
1386,Shiny: Digital Deluxe Edition,3,3,1.0,1.0,1,True,True,0,B_SBA_like,not_observable,not_observable,high,3/3 components individually listed in catalogue; all show a standalone price
