item_id,ownership_count,playtime_mean,playtime_median,playtime_total,nonzero_playtime_share,bundle_count,item_price_median,item_price_nunique,price_disagreement,genres,tags,steam_price,release_date,in_bundle,has_steam_metadata,standalone_price,has_price
10,9611,1780.0289251898866,7.0,17107858,0.62033087087712,0,,,,Action,"Action, FPS, Multiplayer, Shooter, Classic, Team-Based, Competitive, First-Person, Tactical, 1990's, e-sports, PvP, Military, Strategy, Score Attack, Survival, Assassin, 1980s, Ninja, Tower Defense",9.99,2000-11-01,False,True,9.99,True
20,6268,153.24250159540523,0.0,960524,0.4146458200382897,3,4.99,1.0,False,Action,"Action, FPS, Multiplayer, Classic, Shooter, Class-Based, Team-Based, First-Person, 1990's, Co-op, Competitive, Fast-Paced, Online Co-Op, Remake, Retro, Mod, Funny, Adventure, Story Rich, Casual",4.99,1999-04-01,True,True,4.99,True
30,3431,220.45322063538327,0.0,756375,0.3657825706791023,2,4.99,1.0,False,Action,"FPS, World War II, Multiplayer, Action, Shooter, War, Team-Based, Classic, Class-Based, First-Person, Historical, Military, Co-op, Singleplayer, Tactical",4.99,2003-05-01,True,True,4.99,True
40,3242,47.6323257248612,0.0,154424,0.20388648982109808,2,4.99,1.0,False,Action,"Action, FPS, Multiplayer, Classic, Shooter, First-Person, Arena Shooter, Sci-fi",4.99,2001-06-01,True,True,4.99,True
50,6216,116.88304375804375,0.0,726545,0.3027670527670528,3,4.99,1.0,False,Action,"FPS, Action, Sci-fi, Singleplayer, Classic, Shooter, First-Person, Aliens, Adventure, 1990's, Atmospheric, Military, Story Rich, Co-op, Silent Protagonist, Great Soundtrack, Puzzle",4.99,1999-11-01,True,True,4.99,True
60,3276,47.90079365079365,0.0,156923,0.27472527472527475,2,4.99,1.0,False,Action,"Action, FPS, Multiplayer, First-Person, Cyberpunk, Classic, Space, Sci-fi, Shooter, Conspiracy, Memes, Platformer, Psychological Horror",4.99,2000-11-01,True,True,4.99,True
70,7664,345.8958768267223,49.0,2650946,0.6921972860125261,3,9.99,1.0,False,Action,"FPS, Classic, Action, Sci-fi, Singleplayer, Shooter, Aliens, First-Person, Multiplayer, 1990's, Story Rich, Adventure, Atmospheric, Silent Protagonist, Great Soundtrack, Moddable, Linear, Retro, Difficult, Funny",9.99,1998-11-08,True,True,9.99,True
130,6135,71.20423797881011,0.0,436838,0.2951915240423798,3,4.99,1.0,False,Action,"FPS, Action, Sci-fi, Singleplayer, Shooter, Aliens, First-Person, Classic, Adventure, Zombies, Short, 1990's, Atmospheric, Story Rich, Silent Protagonist, Puzzle",4.99,2001-06-01,True,True,4.99,True
300,4927,1238.852445707327,81.0,6103826,0.7448751775928557,2,9.99,1.0,False,Action,"FPS, World War II, Multiplayer, Action, Shooter, Team-Based, Military, War, Class-Based, First-Person, Historical, Tactical, Classic, Realistic, Strategy, Gore, Massively Multiplayer, Online Co-Op, Simulation, Comedy",9.99,2010-07-12,True,True,9.99,True
240,23952,4647.40756513026,393.0,111314706,0.8946643286573146,3,19.99,1.0,False,Action,"Action, FPS, Multiplayer, Shooter, Team-Based, Tactical, First-Person, Competitive, PvP, Military, War, e-sports, Moddable, Strategy, Difficult, Singleplayer, Survival, Simulation, Atmospheric, Sandbox",19.99,2004-11-01,True,True,19.99,True
3830,3815,256.3064220183486,33.0,977809,0.5981651376146789,1,9.99,1.0,False,Action,"Platformer, Comedy, Adventure, Cult Classic, Action, Singleplayer, Third Person, Funny, 3D Platformer, Psychological, Classic, Story Rich, Exploration, Great Soundtrack, Surreal, Cartoony, Action-Adventure, Indie, Cute, 3D Vision",9.99,2005-04-19,True,True,9.99,True
2630,773,549.6714100905563,71.0,424896,0.6688227684346701,0,,,,Action,"Action, FPS, World War II, Multiplayer, Singleplayer, Shooter, Classic, War, Historical, First-Person, Atmospheric, Co-op, Military, Story Rich, Zombies, Strategy, Adventure",19.99,2005-10-25,False,True,19.99,True
3900,3142,230.2753023551878,0.0,723525,0.32718014003819224,0,,,,Strategy,"Strategy, Turn-Based Strategy, Turn-Based, 4X, Historical, Multiplayer, Singleplayer, Moddable, Grand Strategy, Classic, Replay Value, Simulation, Great Soundtrack, Resource Management, Economy, War, Tactical",19.99,2005-10-25,False,True,19.99,True
34440,3142,18.667091024824952,0.0,58652,0.040420114576702734,0,,,,,,,,False,False,,False
3920,2293,186.69908416921064,0.0,428101,0.40950719581334494,0,,,,RPG,"Pirates, Open World, RPG, Adventure, Naval, Singleplayer, Historical, Sailing, Sandbox, Economy, Strategy, Remake, Classic, Action, Exploration, Trading, Atmospheric, Fighting, Choose Your Own Adventure, Difficult",9.99,2005-07-11,False,True,9.99,True
6400,105,232.1904761904762,0.0,24380,0.29523809523809524,0,,,,"Action, Strategy","Strategy, Action, RTS",9.99,2006-09-12,False,True,9.99,True
6910,3490,162.1412607449857,2.0,565873,0.529512893982808,1,6.99,1.0,False,Action,"Cyberpunk, RPG, Stealth, Classic, FPS, Sci-fi, Action, Cult Classic, Singleplayer, Dystopian, Inventory Management, Story Rich, Great Soundtrack, First-Person, Moddable, Atmospheric, Conspiracy, Shooter, Action RPG, Adventure",6.99,2000-06-22,True,True,6.99,True
7670,10171,263.6479205584505,62.0,2681563,0.6964900206469373,1,19.99,1.0,False,"Action, RPG","FPS, Atmospheric, Action, Story Rich, Singleplayer, Horror, Steampunk, First-Person, Shooter, RPG, Sci-fi, Classic, Adventure, Dystopian, Underwater, Political, Dark, Great Soundtrack, Alternate History, Action RPG",19.99,2007-08-21,True,True,19.99,True
409710,10171,5.264084160849474,0.0,53541,0.041097237243142265,0,,,,"Action, RPG","Action, FPS, Story Rich, Horror, Atmospheric, Singleplayer, Shooter, First-Person, RPG, Sci-fi, Dystopian, Underwater, Adventure, Great Soundtrack, Remake, Alternate History, Classic, Dark, Steampunk, Choices Matter",19.99,2016-09-15,False,True,19.99,True
220,18102,592.1703679151475,233.0,10719468,0.8090818694066954,2,9.99,1.0,False,Action,"FPS, Action, Sci-fi, Singleplayer, Classic, Story Rich, Shooter, Adventure, First-Person, Dystopian, Atmospheric, Zombies, Aliens, Great Soundtrack, Silent Protagonist, Physics, Multiplayer, Horror, Moddable, Puzzle",9.99,2004-11-16,True,True,9.99,True
320,15684,180.60328997704667,0.0,2832582,0.33556490691150215,1,4.99,1.0,False,Action,"Action, FPS, Multiplayer, Shooter, Sci-fi, First-Person, Physics, Competitive, Funny, Co-op, Adventure, Atmospheric",4.99,2004-11-01,True,True,4.99,True
